#Digilent WaveForms Logic Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A364BC
#Date Time: 2017-04-21 10:17::43.164

Time,SPI,MISO,Break
-0.0020832000000000003,X,0,0
-0.0020708000000000002,X,0,0
-0.0020584000000000002,X,0,0
-0.0020460000000000001,X,0,0
-0.0020336,X,0,0
-0.0020211999999999999,X,0,0
-0.0020088000000000003,X,0,0
-0.0019964000000000002,X,0,0
-0.0019840000000000001,X,0,0
-0.0019716,X,0,0
-0.0019591999999999999,X,0,0
-0.0019468,X,0,0
-0.0019344000000000002,X,0,0
-0.0019220000000000001,X,0,0
-0.0019096,X,0,0
-0.0018972000000000001,X,0,0
-0.0018848000000000001,X,0,0
-0.0018724000000000002,X,0,0
-0.0018600000000000001,X,0,0
-0.0018476,X,0,0
-0.0018352000000000002,X,0,0
-0.0018228000000000001,X,0,0
-0.0018104000000000002,X,0,0
-0.0017980000000000001,X,0,0
-0.0017856,X,0,0
-0.0017732000000000002,X,0,0
-0.0017608000000000001,X,0,0
-0.0017484,X,0,0
-0.0017360000000000001,X,0,0
-0.0017236,X,0,0
-0.0017112000000000002,X,0,0
-0.0016988000000000001,X,0,0
-0.0016864,X,0,0
-0.0016740000000000001,X,0,0
-0.0016616000000000001,X,0,0
-0.0016492000000000002,X,0,0
-0.0016368000000000001,X,0,0
-0.0016244,X,0,0
-0.0016120000000000002,X,0,0
-0.0015996000000000001,X,0,0
-0.0015872000000000002,X,0,0
-0.0015748000000000001,X,0,0
-0.0015624,X,0,0
-0.0015500000000000002,X,0,0
-0.0015376000000000001,X,0,0
-0.0015252,X,0,0
-0.0015128000000000001,X,0,0
-0.0015004,X,0,0
-0.0014880000000000002,X,0,0
-0.0014756000000000001,X,0,0
-0.0014632,X,0,0
-0.0014508000000000001,X,0,0
-0.0014384000000000001,X,0,0
-0.0014260000000000002,X,0,0
-0.0014136000000000001,X,0,0
-0.0014012,X,0,0
-0.0013888000000000001,X,0,0
-0.0013764000000000001,X,0,0
-0.001364,X,0,0
-0.0013516000000000001,X,0,0
-0.0013392,X,0,0
-0.0013268000000000002,X,0,0
-0.0013144000000000001,X,0,0
-0.001302,X,0,0
-0.0012896000000000001,X,0,0
-0.0012772,X,0,0
-0.0012648000000000002,X,0,0
-0.0012524000000000001,X,0,0
-0.00124,X,0,0
-0.0012276000000000001,X,0,0
-0.0012152,X,0,0
-0.0012028,X,0,0
-0.0011904000000000001,X,0,0
-0.001178,X,0,0
-0.0011656000000000001,X,0,0
-0.0011532000000000001,X,0,0
-0.0011408,X,0,0
-0.0011284000000000001,X,0,0
-0.001116,X,0,0
-0.0011036000000000002,X,0,0
-0.0010912000000000001,X,0,0
-0.0010788,X,0,0
-0.0010664000000000001,X,0,0
-0.001054,X,0,0
-0.0010416000000000002,X,0,0
-0.0010292000000000001,X,0,0
-0.0010168,X,0,0
-0.0010044000000000001,X,0,0
-0.00099200000000000004,X,0,0
-0.00097959999999999996,X,0,0
-0.00096720000000000009,X,0,0
-0.00095480000000000001,X,0,0
-0.00094240000000000003,X,0,0
-0.00093000000000000005,X,0,0
-0.00091760000000000008,X,0,0
-0.0009052000000000001,X,0,0
-0.00089280000000000002,X,0,0
-0.00088040000000000004,X,0,0
-0.00086800000000000006,X,0,0
-0.00085560000000000009,X,0,0
-0.0008432,X,0,0
-0.00083080000000000003,X,0,0
-0.00081840000000000005,X,0,0
-0.00080600000000000008,X,0,0
-0.0007936000000000001,X,0,0
-0.00078120000000000002,X,0,0
-0.00076880000000000004,X,0,0
-0.00075640000000000006,X,0,0
-0.00074400000000000009,X,0,0
-0.0007316,X,0,0
-0.00071920000000000003,h00,0,0
-0.00070680000000000005,h00,0,0
-0.00069440000000000007,h00,0,0
-0.00068199999999999999,h00,0,0
-0.00066960000000000001,h00,0,0
